,City,Number of Beds,Number of Homes,Province,Population
350,cannifton,56.0,1,Ontario,0
351,cannington,55.0,1,Ontario,0
352,carleton place,60.0,1,Ontario,11901
353,chapleau,18.0,1,Ontario,1964
354,chatham,557.0,3,Ontario,101647
355,chatsworth,34.0,1,Ontario,6630
356,chelmsford,128.0,1,Ontario,0
357,chesley,61.0,2,Ontario,0
358,clarence,113.0,1,Ontario,0
359,clinton,120.0,1,Ontario,636
360,cobden,64.0,1,Ontario,0
361,cobourg,279.0,3,Ontario,19440
362,cochrane,37.0,1,Ontario,25853
363,collingwood,270.0,3,Ontario,21793
364,corbeil,120.0,1,Ontario,0
365,cornwall,518.0,5,Ontario,46589
366,courtland,54.0,1,Ontario,0
367,creemore,95.0,1,Ontario,0
368,deep river,31.0,2,Ontario,4109
369,delaware,105.0,1,Ontario,0
370,delhi,60.0,1,Ontario,0
371,deseronto,60.0,1,Ontario,1774
372,dryden,97.0,1,Ontario,7749
373,dundas,630.0,3,Ontario,3914
374,dunnville,192.0,2,Ontario,0
375,durham,100.0,1,Ontario,1076
376,dutton,57.0,1,Ontario,0
377,east york,377.0,4,Ontario,0
378,elliot lake,64.0,1,Ontario,10741
379,elmira,144.0,2,Ontario,0
380,elmvale,60.0,1,Ontario,0
381,embrun,60.0,1,Ontario,0
382,emo,12.0,1,Ontario,1333
383,englehart,48.0,1,Ontario,1479
384,espanola,62.0,2,Ontario,4996
385,essex,104.0,1,Ontario,20427
386,etobicoke,2303.0,15,Ontario,0
387,exeter,47.0,1,Ontario,0
388,fenelon falls,67.0,1,Ontario,0
389,fergus,263.0,2,Ontario,0
390,fordwich,33.0,1,Ontario,0
391,forest,88.0,1,Ontario,0
392,fort erie,244.0,3,Ontario,30710
393,fort frances,154.0,1,Ontario,7739
394,gananoque,104.0,1,Ontario,5159
395,georgetown,196.0,2,Ontario,169
396,geraldton,19.0,1,Ontario,0
397,glenburnie,128.0,1,Ontario,0
398,gloucester,240.0,1,Ontario,79943
399,goderich,91.0,1,Ontario,7628
400,gore bay,61.0,1,Ontario,850
401,gravenhurst,183.0,1,Ontario,12311
402,grimsby,233.0,3,Ontario,27314
403,guelph,667.0,5,Ontario,131794
404,hagersville,60.0,1,Ontario,0
405,haileybury,142.0,2,Ontario,0
406,haliburton,90.0,2,Ontario,17056
407,hamilton,2341.0,16,Ontario,693645
408,hanover,111.0,2,Ontario,15733
409,harriston,89.0,1,Ontario,0
410,hawkesbury,146.0,1,Ontario,10263
411,hearst,67.0,1,Ontario,5070
412,hensall,60.0,1,Ontario,1078
413,hornepayne,12.0,1,Ontario,1050
414,huntsville,170.0,2,Ontario,19816
415,ingersoll,114.0,2,Ontario,12757
416,iroquois falls,69.0,1,Ontario,4537
417,jasper,78.0,1,Ontario,4590
418,kanata,316.0,2,Ontario,0
419,kapuskasing,137.0,2,Ontario,8292
420,kemptville,66.0,2,Ontario,0
421,kenora,212.0,2,Ontario,15096
422,keswick,60.0,1,Ontario,0
423,kincardine,40.0,1,Ontario,11389
424,king city,36.0,1,Ontario,0
425,kingston,923.0,5,Ontario,2913
426,kingsville,160.0,1,Ontario,21552
427,kirkland lake,181.0,2,Ontario,7981
428,kitchener,1148.0,7,Ontario,470015
429,komoka,120.0,1,Ontario,1754
430,lakefield,100.0,1,Ontario,0
431,lancaster,60.0,1,Ontario,730
432,leamington,410.0,3,Ontario,32991
433,limoges,57.0,1,Ontario,0
434,lindsay,512.0,5,Ontario,0
435,lion's head,45.0,1,Ontario,514
436,listowel,52.0,1,Ontario,0
437,little current,60.0,1,Ontario,0
438,london,2574.0,15,Ontario,383822
439,long sault (cornwall),111.0,1,Ontario,0
440,l'orignal,60.0,1,Ontario,0
441,lucknow,61.0,1,Ontario,0
442,manitouwadge,9.0,1,Ontario,1937
443,maple,196.0,2,Ontario,0
444,markdale,66.0,1,Ontario,0
445,markham,616.0,4,Ontario,328966
446,marmora,84.0,1,Ontario,0
447,maryhill,31.0,1,Ontario,574
448,matheson,20.0,1,Ontario,0
449,mattawa,72.0,1,Ontario,1993
450,maxville,122.0,1,Ontario,811
451,meaford,77.0,1,Ontario,10991
452,merrickville,60.0,1,Ontario,3067
453,metcalfe (osgoode),100.0,1,Ontario,0
454,midland,273.0,2,Ontario,16864
455,millbrook,128.0,1,Ontario,0
456,milton,200.0,1,Ontario,110128
457,milverton,77.0,1,Ontario,0
458,minden,62.0,1,Ontario,0
459,mississauga,2553.0,16,Ontario,721599
460,mitchell,131.0,2,Ontario,2279
461,mount forest,87.0,1,Ontario,0
462,napanee,168.0,2,Ontario,0
463,nepean,466.0,3,Ontario,0
464,new hamburg,97.0,1,Ontario,0
465,newcastle,88.0,1,Ontario,1136
466,newmarket,487.0,4,Ontario,84224
467,niagara falls,759.0,6,Ontario,308596
468,niagara-on-the-lake,204.0,2,Ontario,17511
469,nipigon,15.0,1,Ontario,1642
470,north bay,388.0,2,Ontario,51553
471,north york,3216.0,14,Ontario,0
472,northbrook,64.0,1,Ontario,0
473,norwood,61.0,1,Ontario,0
474,oakville,790.0,5,Ontario,193832
475,orangeville,137.0,1,Ontario,30734
476,orillia,521.0,4,Ontario,31166
477,orleans,160.0,1,Ontario,0
478,oshawa,1001.0,5,Ontario,166000
479,ottawa,3132.0,17,Ontario,989567
480,owen sound,338.0,4,Ontario,31820
481,palmerston,67.0,1,Ontario,0
482,paris,177.0,2,Ontario,0
483,parkhill,64.0,1,Ontario,0
484,parry sound,211.0,2,Ontario,6408
485,pembroke,297.0,2,Ontario,13882
486,penetanguishene,143.0,1,Ontario,8962
487,perth,284.0,2,Ontario,5930
488,peterborough,817.0,5,Ontario,82094
489,petrolia,253.0,2,Ontario,5742
490,pickering,357.0,2,Ontario,91771
491,picton,273.0,4,Ontario,0
492,plantagenet,60.0,1,Ontario,1027
493,port colborne,150.0,1,Ontario,18306
494,port dover,70.0,1,Ontario,0
495,port hope,285.0,3,Ontario,16753
496,port perry,107.0,1,Ontario,0
497,port stanley,60.0,1,Ontario,0
498,powassan,128.0,1,Ontario,3455
499,prescott,60.0,1,Ontario,3965
500,puslinch,28.0,1,Ontario,7336
501,rainy river,21.0,1,Ontario,20370
502,red lake,32.0,1,Ontario,4107
503,renfrew,259.0,2,Ontario,8223
504,richmond hill,656.0,5,Ontario,195022
505,ridgetown,40.0,1,Ontario,0
506,sarnia,708.0,6,Ontario,71594
507,sarsfield,46.0,1,Ontario,0
508,sault ste. marie,790.0,5,Ontario,73368
509,scarborough,4076.0,21,Ontario,0
510,seaforth,63.0,1,Ontario,0
511,selby,66.0,1,Ontario,0
512,shelburne,220.0,2,Ontario,8126
513,simcoe,349.0,3,Ontario,446063
514,sioux lookout,20.0,1,Ontario,5272
515,"six nations (part) 40, r1",50.0,1,Ontario,0
516,smiths falls,75.0,1,Ontario,8780
517,smooth rock falls,20.0,1,Ontario,1330
518,southampton,84.0,1,Ontario,1484
519,southwold,64.0,1,Ontario,4421
520,st. catharines,1199.0,9,Ontario,309319
521,st. jacobs,72.0,1,Ontario,0
522,st. marys,122.0,2,Ontario,7265
523,st. thomas,402.0,4,Ontario,61707
524,stayner,49.0,1,Ontario,0
525,stirling,75.0,1,Ontario,1090
526,stittsville,224.0,1,Ontario,0
527,stoney creek,470.0,5,Ontario,0
528,stouffville,241.0,2,Ontario,45837
529,stratford,323.0,4,Ontario,31465
530,strathroy,256.0,2,Ontario,0
531,sturgeon falls,162.0,2,Ontario,0
532,sudbury,1166.0,5,Ontario,88054
533,sutton west,119.0,1,Ontario,0
534,tavistock,143.0,2,Ontario,0
535,tecumseh,330.0,3,Ontario,23229
536,terrace bay,22.0,1,Ontario,1611
537,thessalon,96.0,1,Ontario,1279
538,thornbury,60.0,1,Ontario,0
539,thunder bay,1109.0,6,Ontario,107909
540,tilbury,75.0,1,Ontario,0
541,tillsonburg,137.0,2,Ontario,15872
542,timmins,357.0,2,Ontario,41788
543,toronto,4911.0,29,Ontario,5429524
544,townsend,64.0,1,Ontario,0
545,trenton,224.0,2,Ontario,2474
546,tweed,128.0,1,Ontario,6044
547,unionville,160.0,1,Ontario,0
548,uxbridge,100.0,1,Ontario,21176
549,val caron,128.0,1,Ontario,0
550,vanier,160.0,1,Ontario,0
551,vaughan,160.0,1,Ontario,306233
552,vineland,128.0,1,Ontario,0
553,virgil,41.0,1,Ontario,0
554,walkerton,144.0,1,Ontario,0
555,wallaceburg,99.0,1,Ontario,0
556,wardsville,60.0,1,Ontario,431
557,warkworth,60.0,1,Ontario,0
558,waterdown,128.0,1,Ontario,0
559,waterloo,528.0,4,Ontario,104986
560,watford,63.0,1,Ontario,0
561,wawa,22.0,1,Ontario,2905
562,welland,473.0,5,Ontario,52293
563,whitby,454.0,3,Ontario,128377
564,wiarton,100.0,1,Ontario,0
565,wikwemikong,59.0,1,Ontario,0
566,winchester,98.0,1,Ontario,508
567,windsor,1420.0,9,Ontario,276165
568,wingham,69.0,1,Ontario,0
569,woodbridge,588.0,4,Ontario,0
570,woodslee,104.0,1,Ontario,0
571,woodstock,315.0,2,Ontario,40902
572,york,338.0,2,Ontario,97238
573,zurich,65.0,1,Ontario,865
574,alberton,48.0,1,PEI,1145
575,belfast,88.0,1,PEI,0
576,charlottetown,693.0,8,PEI,42602
577,crapaud,36.0,1,PEI,345
578,kensington,30.0,1,PEI,1619
579,montague,49.0,1,PEI,3761
580,o'leary,40.0,1,PEI,812
581,souris,52.0,1,PEI,1053
582,summerside,198.0,3,PEI,14829
583,tyne valley,23.0,1,PEI,222
584,abbotsford,59.0,11,British Columbia,141397
585,agassiz,1.0,1,British Columbia,0
586,bc,218.0,2,British Columbia,0
587,brocklehurst,8.0,1,British Columbia,0
588,burnaby,201.0,12,British Columbia,232755
589,castlegar,4.0,1,British Columbia,8039
